Month,Year,Municipality,Dengue_Cases
May,2023,Mangatarem,1
Jun,2023,Mangatarem,0
Jul,2023,Mangatarem,0
Aug,2023,Mangatarem,4
Sep,2023,Mangatarem,7
Oct,2023,Mangatarem,6
Nov,2023,Mangatarem,12
Dec,2023,Mangatarem,3
Jan,2024,Mangatarem,5
Feb,2024,Mangatarem,18
Mar,2024,Mangatarem,6
Apr,2024,Mangatarem,6
May,2024,Mangatarem,5
Jun,2024,Mangatarem,7
Jul,2024,Mangatarem,15
Aug,2024,Mangatarem,88
Sep,2024,Mangatarem,79
Oct,2024,Mangatarem,22
Jan,2019,Mapandan,11
Feb,2019,Mapandan,0
Mar,2019,Mapandan,6
Apr,2019,Mapandan,1
May,2019,Mapandan,0
Jun,2019,Mapandan,8
Jul,2019,Mapandan,17
Aug,2019,Mapandan,29
Sep,2019,Mapandan,27
Oct,2019,Mapandan,15
Nov,2019,Mapandan,16
Dec,2019,Mapandan,4
Jan,2020,Mapandan,6
Feb,2020,Mapandan,2
Mar,2020,Mapandan,1
Apr,2020,Mapandan,0
May,2020,Mapandan,0
Jun,2020,Mapandan,0
Jul,2020,Mapandan,1
Aug,2020,Mapandan,0
Sep,2020,Mapandan,4
Oct,2020,Mapandan,2
Nov,2020,Mapandan,4
Dec,2020,Mapandan,10
Jan,2021,Mapandan,12
Feb,2021,Mapandan,1
Mar,2021,Mapandan,5
Apr,2021,Mapandan,0
May,2021,Mapandan,2
Jun,2021,Mapandan,2
Jul,2021,Mapandan,7
Aug,2021,Mapandan,19
Sep,2021,Mapandan,8
Oct,2021,Mapandan,7
Nov,2021,Mapandan,3
Dec,2021,Mapandan,5
Jan,2022,Mapandan,0
Feb,2022,Mapandan,0
Mar,2022,Mapandan,4
Apr,2022,Mapandan,2
May,2022,Mapandan,1
Jun,2022,Mapandan,10
Jul,2022,Mapandan,26
Aug,2022,Mapandan,27
Sep,2022,Mapandan,9
Oct,2022,Mapandan,5
Nov,2022,Mapandan,5
Dec,2022,Mapandan,7
Jan,2023,Mapandan,3
Feb,2023,Mapandan,0
Mar,2023,Mapandan,1
Apr,2023,Mapandan,1
May,2023,Mapandan,0
Jun,2023,Mapandan,0
Jul,2023,Mapandan,1
Aug,2023,Mapandan,3
Sep,2023,Mapandan,7
Oct,2023,Mapandan,6
Nov,2023,Mapandan,10
Dec,2023,Mapandan,0
Jan,2024,Mapandan,2
Feb,2024,Mapandan,0
Mar,2024,Mapandan,1
Apr,2024,Mapandan,0
May,2024,Mapandan,0
Jun,2024,Mapandan,3
Jul,2024,Mapandan,10
Aug,2024,Mapandan,27
Sep,2024,Mapandan,14
Oct,2024,Mapandan,8
Jan,2019,Natividad,1
Feb,2019,Natividad,1
Mar,2019,Natividad,1
Apr,2019,Natividad,0
May,2019,Natividad,1
Jun,2019,Natividad,1
Jul,2019,Natividad,6
Aug,2019,Natividad,21
Sep,2019,Natividad,10
Oct,2019,Natividad,9
Nov,2019,Natividad,7
Dec,2019,Natividad,1
Jan,2020,Natividad,0
Feb,2020,Natividad,1
Mar,2020,Natividad,1
Apr,2020,Natividad,0
May,2020,Natividad,0
Jun,2020,Natividad,0
Jul,2020,Natividad,0
Aug,2020,Natividad,0
Sep,2020,Natividad,0
Oct,2020,Natividad,1
Nov,2020,Natividad,0
Dec,2020,Natividad,0
Jan,2021,Natividad,0
Feb,2021,Natividad,0
Mar,2021,Natividad,0
Apr,2021,Natividad,1
May,2021,Natividad,1
Jun,2021,Natividad,2
Jul,2021,Natividad,8
Aug,2021,Natividad,7
Sep,2021,Natividad,3
Oct,2021,Natividad,1
Nov,2021,Natividad,0
Dec,2021,Natividad,0
Jan,2022,Natividad,0
Feb,2022,Natividad,0
Mar,2022,Natividad,0
Apr,2022,Natividad,0
May,2022,Natividad,0
Jun,2022,Natividad,1
Jul,2022,Natividad,0
Aug,2022,Natividad,0
Sep,2022,Natividad,1
Oct,2022,Natividad,3
Nov,2022,Natividad,1
Dec,2022,Natividad,0
Jan,2023,Natividad,0
Feb,2023,Natividad,0
Mar,2023,Natividad,0
Apr,2023,Natividad,0
May,2023,Natividad,2
Jun,2023,Natividad,1
Jul,2023,Natividad,2
Aug,2023,Natividad,2
Sep,2023,Natividad,1
Oct,2023,Natividad,3
Nov,2023,Natividad,1
Dec,2023,Natividad,0
Jan,2024,Natividad,1
Feb,2024,Natividad,0
Mar,2024,Natividad,0
Apr,2024,Natividad,0
May,2024,Natividad,0
Jun,2024,Natividad,0
Jul,2024,Natividad,2
Aug,2024,Natividad,5
Sep,2024,Natividad,5
Oct,2024,Natividad,3
Jan,2019,Pozorrubio,43
Feb,2019,Pozorrubio,15
Mar,2019,Pozorrubio,2
Apr,2019,Pozorrubio,7
May,2019,Pozorrubio,6
Jun,2019,Pozorrubio,9
Jul,2019,Pozorrubio,21
Aug,2019,Pozorrubio,44
Sep,2019,Pozorrubio,37
Oct,2019,Pozorrubio,26
Nov,2019,Pozorrubio,3
Dec,2019,Pozorrubio,0
Jan,2020,Pozorrubio,9
Feb,2020,Pozorrubio,1
Mar,2020,Pozorrubio,0
Apr,2020,Pozorrubio,1
May,2020,Pozorrubio,1
Jun,2020,Pozorrubio,4
Jul,2020,Pozorrubio,6
Aug,2020,Pozorrubio,17
Sep,2020,Pozorrubio,17
Oct,2020,Pozorrubio,10
Nov,2020,Pozorrubio,10
Dec,2020,Pozorrubio,12
Jan,2021,Pozorrubio,14
Feb,2021,Pozorrubio,9
Mar,2021,Pozorrubio,12
Apr,2021,Pozorrubio,13
May,2021,Pozorrubio,7
Jun,2021,Pozorrubio,58
Jul,2021,Pozorrubio,42
Aug,2021,Pozorrubio,40
Sep,2021,Pozorrubio,10
Oct,2021,Pozorrubio,2
Nov,2021,Pozorrubio,1
Dec,2021,Pozorrubio,0
Jan,2022,Pozorrubio,2
Feb,2022,Pozorrubio,0
Mar,2022,Pozorrubio,0
Apr,2022,Pozorrubio,1
May,2022,Pozorrubio,1
Jun,2022,Pozorrubio,1
Jul,2022,Pozorrubio,8
Aug,2022,Pozorrubio,16
Sep,2022,Pozorrubio,6
Oct,2022,Pozorrubio,8
Nov,2022,Pozorrubio,4
Dec,2022,Pozorrubio,1
Jan,2023,Pozorrubio,1
Feb,2023,Pozorrubio,0
Mar,2023,Pozorrubio,1
Apr,2023,Pozorrubio,4
May,2023,Pozorrubio,4
Jun,2023,Pozorrubio,6
Jul,2023,Pozorrubio,9
Aug,2023,Pozorrubio,14
Sep,2023,Pozorrubio,4
Oct,2023,Pozorrubio,1
Nov,2023,Pozorrubio,3
Dec,2023,Pozorrubio,1
Jan,2024,Pozorrubio,1
Feb,2024,Pozorrubio,2
Mar,2024,Pozorrubio,2
Apr,2024,Pozorrubio,1
May,2024,Pozorrubio,0
Jun,2024,Pozorrubio,0
Jul,2024,Pozorrubio,14
Aug,2024,Pozorrubio,32
Sep,2024,Pozorrubio,17
Oct,2024,Pozorrubio,10
Jan,2019,Rosales,6
Feb,2019,Rosales,2
Mar,2019,Rosales,4
Apr,2019,Rosales,2
May,2019,Rosales,2
Jun,2019,Rosales,13
Jul,2019,Rosales,89
Aug,2019,Rosales,108
Sep,2019,Rosales,34
Oct,2019,Rosales,18
Nov,2019,Rosales,11
Dec,2019,Rosales,4
Jan,2020,Rosales,3
Feb,2020,Rosales,1
Mar,2020,Rosales,1
Apr,2020,Rosales,1
May,2020,Rosales,0
Jun,2020,Rosales,0
Jul,2020,Rosales,0
Aug,2020,Rosales,1
Sep,2020,Rosales,0
Oct,2020,Rosales,1
Nov,2020,Rosales,5
Dec,2020,Rosales,2
Jan,2021,Rosales,7
Feb,2021,Rosales,6
Mar,2021,Rosales,6
Apr,2021,Rosales,8
May,2021,Rosales,7
Jun,2021,Rosales,7
Jul,2021,Rosales,12
Aug,2021,Rosales,6
Sep,2021,Rosales,3
Oct,2021,Rosales,1
Nov,2021,Rosales,0
Dec,2021,Rosales,0
Jan,2022,Rosales,0
Feb,2022,Rosales,0
Mar,2022,Rosales,0
Apr,2022,Rosales,1
May,2022,Rosales,1
Jun,2022,Rosales,2
Jul,2022,Rosales,13
Aug,2022,Rosales,33
Sep,2022,Rosales,6
Oct,2022,Rosales,16
Nov,2022,Rosales,11
Dec,2022,Rosales,7
Jan,2023,Rosales,3
Feb,2023,Rosales,3
Mar,2023,Rosales,2
Apr,2023,Rosales,0
May,2023,Rosales,1
Jun,2023,Rosales,7
Jul,2023,Rosales,9
Aug,2023,Rosales,8
Sep,2023,Rosales,8
Oct,2023,Rosales,17
Nov,2023,Rosales,6
Dec,2023,Rosales,3
Jan,2024,Rosales,5
Feb,2024,Rosales,0
Mar,2024,Rosales,2
Apr,2024,Rosales,0
May,2024,Rosales,0
Jun,2024,Rosales,0
Jul,2024,Rosales,15
Aug,2024,Rosales,46
Sep,2024,Rosales,10
Oct,2024,Rosales,4
Jan,2019,San Carlos City,23
Feb,2019,San Carlos City,11
Mar,2019,San Carlos City,11
Apr,2019,San Carlos City,4
May,2019,San Carlos City,6
Jun,2019,San Carlos City,21
Jul,2019,San Carlos City,73
Aug,2019,San Carlos City,179
Sep,2019,San Carlos City,221
Oct,2019,San Carlos City,196
Nov,2019,San Carlos City,98
Dec,2019,San Carlos City,23
Jan,2020,San Carlos City,52
Feb,2020,San Carlos City,43
Mar,2020,San Carlos City,9
Apr,2020,San Carlos City,5
May,2020,San Carlos City,2
Jun,2020,San Carlos City,4
Jul,2020,San Carlos City,28
Aug,2020,San Carlos City,103
Sep,2020,San Carlos City,114
Oct,2020,San Carlos City,181
Nov,2020,San Carlos City,153
Dec,2020,San Carlos City,142
Jan,2021,San Carlos City,87
Feb,2021,San Carlos City,53
Mar,2021,San Carlos City,50
Apr,2021,San Carlos City,37
May,2021,San Carlos City,39
Jun,2021,San Carlos City,36
Jul,2021,San Carlos City,57
Aug,2021,San Carlos City,64
Sep,2021,San Carlos City,50
Oct,2021,San Carlos City,33
Nov,2021,San Carlos City,16
Dec,2021,San Carlos City,6
Jan,2022,San Carlos City,11
Feb,2022,San Carlos City,2
Mar,2022,San Carlos City,4
Apr,2022,San Carlos City,9
May,2022,San Carlos City,37
Jun,2022,San Carlos City,44
Jul,2022,San Carlos City,74
Aug,2022,San Carlos City,29
Sep,2022,San Carlos City,14
Oct,2022,San Carlos City,6
Nov,2022,San Carlos City,6
Dec,2022,San Carlos City,5
Jan,2023,San Carlos City,3
Feb,2023,San Carlos City,7
Mar,2023,San Carlos City,15
Apr,2023,San Carlos City,6
May,2023,San Carlos City,10
Jun,2023,San Carlos City,11
Jul,2023,San Carlos City,16
Aug,2023,San Carlos City,19
Sep,2023,San Carlos City,27
Oct,2023,San Carlos City,21
Nov,2023,San Carlos City,14
Dec,2023,San Carlos City,3
Jan,2024,San Carlos City,10
Feb,2024,San Carlos City,7
Mar,2024,San Carlos City,0
Apr,2024,San Carlos City,2
May,2024,San Carlos City,5
Jun,2024,San Carlos City,18
Jul,2024,San Carlos City,129
Aug,2024,San Carlos City,283
Sep,2024,San Carlos City,254
Oct,2024,San Carlos City,66
Jan,2019,San Fabian,12
Feb,2019,San Fabian,5
Mar,2019,San Fabian,2
Apr,2019,San Fabian,3
May,2019,San Fabian,0
Jun,2019,San Fabian,4
Jul,2019,San Fabian,19
Aug,2019,San Fabian,48
Sep,2019,San Fabian,37
Oct,2019,San Fabian,33
Nov,2019,San Fabian,22
Dec,2019,San Fabian,11
Jan,2020,San Fabian,13
Feb,2020,San Fabian,6
Mar,2020,San Fabian,1
Apr,2020,San Fabian,2
May,2020,San Fabian,2
Jun,2020,San Fabian,3
Jul,2020,San Fabian,10
Aug,2020,San Fabian,18
Sep,2020,San Fabian,7
Oct,2020,San Fabian,7
Nov,2020,San Fabian,7
Dec,2020,San Fabian,5
Jan,2021,San Fabian,7
Feb,2021,San Fabian,3
Mar,2021,San Fabian,3
Apr,2021,San Fabian,0
May,2021,San Fabian,2
Jun,2021,San Fabian,5
Jul,2021,San Fabian,6
Aug,2021,San Fabian,9
Sep,2021,San Fabian,2
Oct,2021,San Fabian,0
Nov,2021,San Fabian,0
Dec,2021,San Fabian,0
Jan,2022,San Fabian,0
Feb,2022,San Fabian,0
Mar,2022,San Fabian,1
Apr,2022,San Fabian,1
May,2022,San Fabian,1
Jun,2022,San Fabian,2
Jul,2022,San Fabian,5
Aug,2022,San Fabian,9
Sep,2022,San Fabian,2
Oct,2022,San Fabian,4
Nov,2022,San Fabian,3
Dec,2022,San Fabian,2
Jan,2023,San Fabian,1
Feb,2023,San Fabian,1
Mar,2023,San Fabian,1
Apr,2023,San Fabian,0
May,2023,San Fabian,1
Jun,2023,San Fabian,3
Jul,2023,San Fabian,4
Aug,2023,San Fabian,9
Sep,2023,San Fabian,5
Oct,2023,San Fabian,2
Nov,2023,San Fabian,7
Dec,2023,San Fabian,3
Jan,2024,San Fabian,4
Feb,2024,San Fabian,1
Mar,2024,San Fabian,1
Apr,2024,San Fabian,0
May,2024,San Fabian,0
Jun,2024,San Fabian,1
Jul,2024,San Fabian,4
Aug,2024,San Fabian,9
Sep,2024,San Fabian,8
Oct,2024,San Fabian,0
Jan,2019,San Jacinto,2
Feb,2019,San Jacinto,7
Mar,2019,San Jacinto,1
Apr,2019,San Jacinto,0
May,2019,San Jacinto,0
Jun,2019,San Jacinto,5
Jul,2019,San Jacinto,23
Aug,2019,San Jacinto,15
Sep,2019,San Jacinto,22
Oct,2019,San Jacinto,15
Nov,2019,San Jacinto,11
Dec,2019,San Jacinto,6
Jan,2020,San Jacinto,6
Feb,2020,San Jacinto,1
Mar,2020,San Jacinto,1
Apr,2020,San Jacinto,0
May,2020,San Jacinto,0
Jun,2020,San Jacinto,0
Jul,2020,San Jacinto,5
Aug,2020,San Jacinto,2
Sep,2020,San Jacinto,12
Oct,2020,San Jacinto,7
Nov,2020,San Jacinto,8
Dec,2020,San Jacinto,3
Jan,2021,San Jacinto,4
Feb,2021,San Jacinto,1
Mar,2021,San Jacinto,2
Apr,2021,San Jacinto,0
May,2021,San Jacinto,2
Jun,2021,San Jacinto,4
Jul,2021,San Jacinto,17
Aug,2021,San Jacinto,4
Sep,2021,San Jacinto,2
Oct,2021,San Jacinto,0
Nov,2021,San Jacinto,0
Dec,2021,San Jacinto,0
Jan,2022,San Jacinto,0
Feb,2022,San Jacinto,0
Mar,2022,San Jacinto,0
Apr,2022,San Jacinto,0
May,2022,San Jacinto,1
Jun,2022,San Jacinto,1
Jul,2022,San Jacinto,4
Aug,2022,San Jacinto,3
Sep,2022,San Jacinto,4
Oct,2022,San Jacinto,1
Nov,2022,San Jacinto,0
Dec,2022,San Jacinto,3
Jan,2023,San Jacinto,1
Feb,2023,San Jacinto,0
Mar,2023,San Jacinto,1
Apr,2023,San Jacinto,0
May,2023,San Jacinto,1
Jun,2023,San Jacinto,0
Jul,2023,San Jacinto,3
Aug,2023,San Jacinto,7
Sep,2023,San Jacinto,7
Oct,2023,San Jacinto,9
Nov,2023,San Jacinto,11
Dec,2023,San Jacinto,2
Jan,2024,San Jacinto,2
Feb,2024,San Jacinto,1
Mar,2024,San Jacinto,0
Apr,2024,San Jacinto,0
May,2024,San Jacinto,1
Jun,2024,San Jacinto,1
Jul,2024,San Jacinto,6
Aug,2024,San Jacinto,14
Sep,2024,San Jacinto,10
Oct,2024,San Jacinto,5
Jan,2019,San Manuel,4
Feb,2019,San Manuel,0
Mar,2019,San Manuel,1
Apr,2019,San Manuel,1
May,2019,San Manuel,0
Jun,2019,San Manuel,1
Jul,2019,San Manuel,5
Aug,2019,San Manuel,18
Sep,2019,San Manuel,15
Oct,2019,San Manuel,16
Nov,2019,San Manuel,11
Dec,2019,San Manuel,5
Jan,2020,San Manuel,4
Feb,2020,San Manuel,2
Mar,2020,San Manuel,1
Apr,2020,San Manuel,0
May,2020,San Manuel,0
Jun,2020,San Manuel,3
Jul,2020,San Manuel,6
Aug,2020,San Manuel,8
Sep,2020,San Manuel,4
Oct,2020,San Manuel,6
Nov,2020,San Manuel,3
Dec,2020,San Manuel,4
Jan,2021,San Manuel,4
Feb,2021,San Manuel,5
Mar,2021,San Manuel,4
Apr,2021,San Manuel,3
May,2021,San Manuel,3
Jun,2021,San Manuel,3
Jul,2021,San Manuel,7
Aug,2021,San Manuel,8
Sep,2021,San Manuel,4
Oct,2021,San Manuel,2
Nov,2021,San Manuel,2
Dec,2021,San Manuel,0
Jan,2022,San Manuel,2
Feb,2022,San Manuel,0
Mar,2022,San Manuel,1
Apr,2022,San Manuel,1
May,2022,San Manuel,1
Jun,2022,San Manuel,1
Jul,2022,San Manuel,10
Aug,2022,San Manuel,14
Sep,2022,San Manuel,11
Oct,2022,San Manuel,3
Nov,2022,San Manuel,3
Dec,2022,San Manuel,2
Jan,2023,San Manuel,1
Feb,2023,San Manuel,0
Mar,2023,San Manuel,0
Apr,2023,San Manuel,1
May,2023,San Manuel,1
Jun,2023,San Manuel,1
Jul,2023,San Manuel,2
Aug,2023,San Manuel,1
Sep,2023,San Manuel,1
Oct,2023,San Manuel,1
Nov,2023,San Manuel,0
Dec,2023,San Manuel,1
Jan,2024,San Manuel,0
Feb,2024,San Manuel,0
Mar,2024,San Manuel,0
Apr,2024,San Manuel,0
May,2024,San Manuel,0
Jun,2024,San Manuel,0
Jul,2024,San Manuel,1
Aug,2024,San Manuel,18
Sep,2024,San Manuel,7
Oct,2024,San Manuel,4
Jan,2019,San Nicolas,2
Feb,2019,San Nicolas,2
Mar,2019,San Nicolas,1
Apr,2019,San Nicolas,0
May,2019,San Nicolas,0
Jun,2019,San Nicolas,1
Jul,2019,San Nicolas,6
Aug,2019,San Nicolas,26
Sep,2019,San Nicolas,16
Oct,2019,San Nicolas,23
Nov,2019,San Nicolas,10
Dec,2019,San Nicolas,5
Jan,2020,San Nicolas,4
Feb,2020,San Nicolas,3
Mar,2020,San Nicolas,0
Apr,2020,San Nicolas,0
May,2020,San Nicolas,0
Jun,2020,San Nicolas,0
Jul,2020,San Nicolas,1
Aug,2020,San Nicolas,0
Sep,2020,San Nicolas,1
Oct,2020,San Nicolas,0
Nov,2020,San Nicolas,2
Dec,2020,San Nicolas,0
Jan,2021,San Nicolas,1
Feb,2021,San Nicolas,2
Mar,2021,San Nicolas,3
Apr,2021,San Nicolas,3
May,2021,San Nicolas,4
Jun,2021,San Nicolas,10
Jul,2021,San Nicolas,7
Aug,2021,San Nicolas,7
Sep,2021,San Nicolas,6
Oct,2021,San Nicolas,2
Nov,2021,San Nicolas,0
Dec,2021,San Nicolas,0
Jan,2022,San Nicolas,0
Feb,2022,San Nicolas,0
Mar,2022,San Nicolas,0
Apr,2022,San Nicolas,0
May,2022,San Nicolas,1
Jun,2022,San Nicolas,1
Jul,2022,San Nicolas,2
Aug,2022,San Nicolas,1
Sep,2022,San Nicolas,0
Oct,2022,San Nicolas,0
Nov,2022,San Nicolas,0
Dec,2022,San Nicolas,0
Jan,2023,San Nicolas,1
Feb,2023,San Nicolas,0
Mar,2023,San Nicolas,0
Apr,2023,San Nicolas,0
May,2023,San Nicolas,0
Jun,2023,San Nicolas,1
Jul,2023,San Nicolas,2
Aug,2023,San Nicolas,0
Sep,2023,San Nicolas,0
Oct,2023,San Nicolas,2
Nov,2023,San Nicolas,1
Dec,2023,San Nicolas,0
Jan,2024,San Nicolas,0
Feb,2024,San Nicolas,0
Mar,2024,San Nicolas,0
Apr,2024,San Nicolas,0
May,2024,San Nicolas,0
Jun,2024,San Nicolas,6
Jul,2024,San Nicolas,1
Aug,2024,San Nicolas,19
Sep,2024,San Nicolas,30
Oct,2024,San Nicolas,6
Jan,2019,San Quintin,5
Feb,2019,San Quintin,0
Mar,2019,San Quintin,1
Apr,2019,San Quintin,0
May,2019,San Quintin,0
Jun,2019,San Quintin,49
Jul,2019,San Quintin,105
Aug,2019,San Quintin,61
Sep,2019,San Quintin,20
Oct,2019,San Quintin,4
Nov,2019,San Quintin,4
Dec,2019,San Quintin,1
Jan,2020,San Quintin,1
Feb,2020,San Quintin,1
Mar,2020,San Quintin,0
Apr,2020,San Quintin,0
May,2020,San Quintin,0
Jun,2020,San Quintin,0
Jul,2020,San Quintin,1
Aug,2020,San Quintin,0
Sep,2020,San Quintin,0
Oct,2020,San Quintin,0
Nov,2020,San Quintin,0
Dec,2020,San Quintin,0
Jan,2021,San Quintin,1
Feb,2021,San Quintin,0
Mar,2021,San Quintin,1
Apr,2021,San Quintin,0
May,2021,San Quintin,1
Jun,2021,San Quintin,1
Jul,2021,San Quintin,5
Aug,2021,San Quintin,16
Sep,2021,San Quintin,3
Oct,2021,San Quintin,0
Nov,2021,San Quintin,0
Dec,2021,San Quintin,0
Jan,2022,San Quintin,0
Feb,2022,San Quintin,0
Mar,2022,San Quintin,0
Apr,2022,San Quintin,0
May,2022,San Quintin,0
Jun,2022,San Quintin,4
Jul,2022,San Quintin,13
Aug,2022,San Quintin,0
Sep,2022,San Quintin,2
Oct,2022,San Quintin,1
Nov,2022,San Quintin,1
Dec,2022,San Quintin,0
Jan,2023,San Quintin,0
Feb,2023,San Quintin,1
Mar,2023,San Quintin,0
Apr,2023,San Quintin,0
May,2023,San Quintin,0
Jun,2023,San Quintin,1
Jul,2023,San Quintin,9
Aug,2023,San Quintin,3
Sep,2023,San Quintin,2
Oct,2023,San Quintin,1
Nov,2023,San Quintin,2
Dec,2023,San Quintin,0
Jan,2024,San Quintin,0
Feb,2024,San Quintin,0
Mar,2024,San Quintin,0
Apr,2024,San Quintin,0
May,2024,San Quintin,0
Jun,2024,San Quintin,0
Jul,2024,San Quintin,4
Aug,2024,San Quintin,8
Sep,2024,San Quintin,5
Oct,2024,San Quintin,1
Jan,2019,Santa Barbara,17
Feb,2019,Santa Barbara,4
Mar,2019,Santa Barbara,7
Apr,2019,Santa Barbara,0
May,2019,Santa Barbara,2
Jun,2019,Santa Barbara,4
Jul,2019,Santa Barbara,11
Aug,2019,Santa Barbara,46
Sep,2019,Santa Barbara,66
Oct,2019,Santa Barbara,63
Nov,2019,Santa Barbara,41
Dec,2019,Santa Barbara,35
Jan,2020,Santa Barbara,29
Feb,2020,Santa Barbara,14
Mar,2020,Santa Barbara,4
Apr,2020,Santa Barbara,0
May,2020,Santa Barbara,0
Jun,2020,Santa Barbara,0
Jul,2020,Santa Barbara,4
Aug,2020,Santa Barbara,10
Sep,2020,Santa Barbara,15
Oct,2020,Santa Barbara,12
Nov,2020,Santa Barbara,21
Dec,2020,Santa Barbara,27
Jan,2021,Santa Barbara,20
Feb,2021,Santa Barbara,17
Mar,2021,Santa Barbara,10
Apr,2021,Santa Barbara,3
May,2021,Santa Barbara,4
Jun,2021,Santa Barbara,2
Jul,2021,Santa Barbara,9
Aug,2021,Santa Barbara,38
Sep,2021,Santa Barbara,27
Oct,2021,Santa Barbara,15
Nov,2021,Santa Barbara,7
Dec,2021,Santa Barbara,10
Jan,2022,Santa Barbara,8
Feb,2022,Santa Barbara,3
Mar,2022,Santa Barbara,0
Apr,2022,Santa Barbara,5
May,2022,Santa Barbara,12
Jun,2022,Santa Barbara,14
Jul,2022,Santa Barbara,22
Aug,2022,Santa Barbara,39
Sep,2022,Santa Barbara,22
Oct,2022,Santa Barbara,15
Nov,2022,Santa Barbara,11
Dec,2022,Santa Barbara,6
Jan,2023,Santa Barbara,4
Feb,2023,Santa Barbara,2
Mar,2023,Santa Barbara,4
Apr,2023,Santa Barbara,2
May,2023,Santa Barbara,8
Jun,2023,Santa Barbara,7
Jul,2023,Santa Barbara,4
Aug,2023,Santa Barbara,9
Sep,2023,Santa Barbara,9
Oct,2023,Santa Barbara,15
Nov,2023,Santa Barbara,10
Dec,2023,Santa Barbara,1
Jan,2024,Santa Barbara,3
Feb,2024,Santa Barbara,5
Mar,2024,Santa Barbara,2
Apr,2024,Santa Barbara,0
May,2024,Santa Barbara,0
Jun,2024,Santa Barbara,4
Jul,2024,Santa Barbara,23
Aug,2024,Santa Barbara,63
Sep,2024,Santa Barbara,27
Oct,2024,Santa Barbara,13
Jan,2019,Santa Maria,6
Feb,2019,Santa Maria,2
Mar,2019,Santa Maria,2
Apr,2019,Santa Maria,0
May,2019,Santa Maria,0
Jun,2019,Santa Maria,2
Jul,2019,Santa Maria,6
Aug,2019,Santa Maria,11
Sep,2019,Santa Maria,17
Oct,2019,Santa Maria,14
Nov,2019,Santa Maria,2
Dec,2019,Santa Maria,3
Jan,2020,Santa Maria,6
Feb,2020,Santa Maria,1
Mar,2020,Santa Maria,0
Apr,2020,Santa Maria,0
May,2020,Santa Maria,0
Jun,2020,Santa Maria,0
Jul,2020,Santa Maria,0
Aug,2020,Santa Maria,3
Sep,2020,Santa Maria,1
Oct,2020,Santa Maria,1
Nov,2020,Santa Maria,2
Dec,2020,Santa Maria,2
Jan,2021,Santa Maria,4
Feb,2021,Santa Maria,4
Mar,2021,Santa Maria,6
Apr,2021,Santa Maria,3
May,2021,Santa Maria,4
Jun,2021,Santa Maria,12
Jul,2021,Santa Maria,12
Aug,2021,Santa Maria,6
Sep,2021,Santa Maria,0
Oct,2021,Santa Maria,0
Nov,2021,Santa Maria,0
Dec,2021,Santa Maria,1
Jan,2022,Santa Maria,0
Feb,2022,Santa Maria,0
Mar,2022,Santa Maria,0
Apr,2022,Santa Maria,1
May,2022,Santa Maria,1
Jun,2022,Santa Maria,2
Jul,2022,Santa Maria,3
Aug,2022,Santa Maria,7
Sep,2022,Santa Maria,1
Oct,2022,Santa Maria,3
Nov,2022,Santa Maria,1
Dec,2022,Santa Maria,1
Jan,2023,Santa Maria,0
Feb,2023,Santa Maria,0
Mar,2023,Santa Maria,0
Apr,2023,Santa Maria,0
May,2023,Santa Maria,0
Jun,2023,Santa Maria,0
Jul,2023,Santa Maria,4
Aug,2023,Santa Maria,4
Sep,2023,Santa Maria,1
Oct,2023,Santa Maria,7
Nov,2023,Santa Maria,8
Dec,2023,Santa Maria,3
Jan,2024,Santa Maria,2
Feb,2024,Santa Maria,0
Mar,2024,Santa Maria,0
Apr,2024,Santa Maria,0
May,2024,Santa Maria,0
Jun,2024,Santa Maria,0
Jul,2024,Santa Maria,7
Aug,2024,Santa Maria,34
Sep,2024,Santa Maria,7
Oct,2024,Santa Maria,0
Jan,2019,Santo Tomas,2
Feb,2019,Santo Tomas,1
Mar,2019,Santo Tomas,0
Apr,2019,Santo Tomas,0
May,2019,Santo Tomas,0
Jun,2019,Santo Tomas,0
Jul,2019,Santo Tomas,0
Aug,2019,Santo Tomas,1
Sep,2019,Santo Tomas,3
Oct,2019,Santo Tomas,11
Nov,2019,Santo Tomas,0
Dec,2019,Santo Tomas,0
Jan,2020,Santo Tomas,0
Feb,2020,Santo Tomas,1
Mar,2020,Santo Tomas,0
Apr,2020,Santo Tomas,0
May,2020,Santo Tomas,0
Jun,2020,Santo Tomas,0
Jul,2020,Santo Tomas,0
Aug,2020,Santo Tomas,1
Sep,2020,Santo Tomas,0
Oct,2020,Santo Tomas,2
Nov,2020,Santo Tomas,0
Dec,2020,Santo Tomas,0
Jan,2021,Santo Tomas,3
Feb,2021,Santo Tomas,2
Mar,2021,Santo Tomas,2
Apr,2021,Santo Tomas,1
May,2021,Santo Tomas,0
Jun,2021,Santo Tomas,0
Jul,2021,Santo Tomas,1
Aug,2021,Santo Tomas,2
Sep,2021,Santo Tomas,0
Oct,2021,Santo Tomas,1
Nov,2021,Santo Tomas,0
Dec,2021,Santo Tomas,2
Jan,2022,Santo Tomas,0
Feb,2022,Santo Tomas,0
Mar,2022,Santo Tomas,0
Apr,2022,Santo Tomas,0
May,2022,Santo Tomas,1
Jun,2022,Santo Tomas,1
Jul,2022,Santo Tomas,0
Aug,2022,Santo Tomas,0
Sep,2022,Santo Tomas,0
Oct,2022,Santo Tomas,2
Nov,2022,Santo Tomas,1
Dec,2022,Santo Tomas,0
